label,county,state_abbr,state_name,fips,ers_region
"Decatur County, KS",Decatur County,KS,Kansas,20039,Prairie Gateway
"Decatur County, TN",Decatur County,TN,Tennessee,47039,Mississippi Portal
"Deer Lodge County, MT",Deer Lodge County,MT,Montana,30023,Basin and Range
"Defiance County, OH",Defiance County,OH,Ohio,39039,Heartland
"Del Norte County, CA",Del Norte County,CA,California,6015,Basin and Range
"Delaware County, IA",Delaware County,IA,Iowa,19055,Heartland
"Delaware County, IN",Delaware County,IN,Indiana,18035,Heartland
"Delaware County, NY",Delaware County,NY,New York,36025,Northern Crescent
"Delaware County, OH",Delaware County,OH,Ohio,39041,Heartland
"Delaware County, OK",Delaware County,OK,Oklahoma,40041,Eastern Uplands
"Delaware County, PA",Delaware County,PA,Pennsylvania,42045,Northern Crescent
"Delta County, CO",Delta County,CO,Colorado,8029,Basin and Range
"Delta County, MI",Delta County,MI,Michigan,26041,Northern Crescent
"Delta County, TX",Delta County,TX,Texas,48119,Prairie Gateway
"Denali Borough, AK",Denali Borough,AK,Alaska,2068,
"Dent County, MO",Dent County,MO,Missouri,29065,Eastern Uplands
"Denton County, TX",Denton County,TX,Texas,48121,Prairie Gateway
"Denver County, CO",Denver County,CO,Colorado,8031,Prairie Gateway
"Des Moines County, IA",Des Moines County,IA,Iowa,19057,Heartland
"Deschutes County, OR",Deschutes County,OR,Oregon,41017,Basin and Range
"Desha County, AR",Desha County,AR,Arkansas,5041,Mississippi Portal
"Deuel County, NE",Deuel County,NE,Nebraska,31049,Northern Great Plains
"Deuel County, SD",Deuel County,SD,South Dakota,46039,Northern Great Plains
"Dewey County, OK",Dewey County,OK,Oklahoma,40043,Prairie Gateway
"Dewey County, SD",Dewey County,SD,South Dakota,46041,Northern Great Plains
"Dickens County, TX",Dickens County,TX,Texas,48125,Prairie Gateway
"Dickenson County, VA",Dickenson County,VA,Virginia,51051,Eastern Uplands
"Dickey County, ND",Dickey County,ND,North Dakota,38021,Northern Great Plains
"Dickinson County, IA",Dickinson County,IA,Iowa,19059,Heartland
"Dickinson County, KS",Dickinson County,KS,Kansas,20041,Prairie Gateway
"Dickinson County, MI",Dickinson County,MI,Michigan,26043,Northern Crescent
"Dickson County, TN",Dickson County,TN,Tennessee,47043,Mississippi Portal
"Dillingham Census Area, AK",Dillingham Census Area,AK,Alaska,2070,
"Dillon County, SC",Dillon County,SC,South Carolina,45033,Southern Seaboard
"Dimmit County, TX",Dimmit County,TX,Texas,48127,Fruitful Rim
"Dinwiddie County, VA",Dinwiddie County,VA,Virginia,51053,Southern Seaboard
"District of Columbia, DC",District of Columbia,DC,District of Columbia,11001,Southern Seaboard
"Divide County, ND",Divide County,ND,North Dakota,38023,Northern Great Plains
"Dixie County, FL",Dixie County,FL,Florida,12029,Fruitful Rim
"Dixon County, NE",Dixon County,NE,Nebraska,31051,Heartland
"Doddridge County, WV",Doddridge County,WV,West Virginia,54017,Eastern Uplands
"Dodge County, GA",Dodge County,GA,Georgia,13091,Southern Seaboard
"Dodge County, MN",Dodge County,MN,Minnesota,27039,Heartland
"Dodge County, NE",Dodge County,NE,Nebraska,31053,Heartland
"Dodge County, WI",Dodge County,WI,Wisconsin,55027,Northern Crescent
"Dolores County, CO",Dolores County,CO,Colorado,8033,Basin and Range
"Doniphan County, KS",Doniphan County,KS,Kansas,20043,Prairie Gateway
"Donley County, TX",Donley County,TX,Texas,48129,Prairie Gateway
"Dooly County, GA",Dooly County,GA,Georgia,13093,Southern Seaboard
"Door County, WI",Door County,WI,Wisconsin,55029,Northern Crescent
"Dorchester County, MD",Dorchester County,MD,Maryland,24019,Southern Seaboard
"Dorchester County, SC",Dorchester County,SC,South Carolina,45035,Fruitful Rim
"Dougherty County, GA",Dougherty County,GA,Georgia,13095,Southern Seaboard
"Douglas County, CO",Douglas County,CO,Colorado,8035,Prairie Gateway
"Douglas County, GA",Douglas County,GA,Georgia,13097,Southern Seaboard
"Douglas County, IL",Douglas County,IL,Illinois,17041,Heartland
"Douglas County, KS",Douglas County,KS,Kansas,20045,Prairie Gateway
"Douglas County, MN",Douglas County,MN,Minnesota,27041,Heartland
"Douglas County, MO",Douglas County,MO,Missouri,29067,Eastern Uplands
"Douglas County, NE",Douglas County,NE,Nebraska,31055,Heartland
"Douglas County, NV",Douglas County,NV,Nevada,32005,Basin and Range
"Douglas County, OR",Douglas County,OR,Oregon,41019,Fruitful Rim
"Douglas County, SD",Douglas County,SD,South Dakota,46043,Heartland
"Douglas County, WA",Douglas County,WA,Washington,53017,Fruitful Rim
"Douglas County, WI",Douglas County,WI,Wisconsin,55031,Northern Crescent
"Doña Ana County, NM",Doña Ana County,NM,New Mexico,35013,Prairie Gateway
"Drew County, AR",Drew County,AR,Arkansas,5043,Mississippi Portal
"DuPage County, IL",DuPage County,IL,Illinois,17043,Heartland
"Dubois County, IN",Dubois County,IN,Indiana,18037,Heartland
"Dubuque County, IA",Dubuque County,IA,Iowa,19061,Heartland
"Duchesne County, UT",Duchesne County,UT,Utah,49013,Basin and Range
"Dukes County, MA",Dukes County,MA,Massachusetts,25007,Northern Crescent
"Dundy County, NE",Dundy County,NE,Nebraska,31057,Prairie Gateway
"Dunklin County, MO",Dunklin County,MO,Missouri,29069,Heartland
"Dunn County, ND",Dunn County,ND,North Dakota,38025,Northern Great Plains
"Dunn County, WI",Dunn County,WI,Wisconsin,55033,Northern Crescent
"Duplin County, NC",Duplin County,NC,North Carolina,37061,Southern Seaboard
"Durham County, NC",Durham County,NC,North Carolina,37063,Southern Seaboard
"Dutchess County, NY",Dutchess County,NY,New York,36027,Northern Crescent
"Duval County, FL",Duval County,FL,Florida,12031,Fruitful Rim
"Duval County, TX",Duval County,TX,Texas,48131,Fruitful Rim
"Dyer County, TN",Dyer County,TN,Tennessee,47045,Mississippi Portal
"Eagle County, CO",Eagle County,CO,Colorado,8037,Basin and Range
"Early County, GA",Early County,GA,Georgia,13099,Southern Seaboard
"East Baton Rouge Parish, LA",East Baton Rouge Parish,LA,Louisiana,22033,Mississippi Portal
"East Carroll Parish, LA",East Carroll Parish,LA,Louisiana,22035,Mississippi Portal
"East Feliciana Parish, LA",East Feliciana Parish,LA,Louisiana,22037,Mississippi Portal
"Eastland County, TX",Eastland County,TX,Texas,48133,Prairie Gateway
"Eaton County, MI",Eaton County,MI,Michigan,26045,Northern Crescent
"Eau Claire County, WI",Eau Claire County,WI,Wisconsin,55035,Northern Crescent
"Echols County, GA",Echols County,GA,Georgia,13101,Southern Seaboard
"Ector County, TX",Ector County,TX,Texas,48135,Fruitful Rim
"Eddy County, ND",Eddy County,ND,North Dakota,38027,Northern Great Plains
"Eddy County, NM",Eddy County,NM,New Mexico,35015,Prairie Gateway
"Edgar County, IL",Edgar County,IL,Illinois,17045,Heartland
"Edgecombe County, NC",Edgecombe County,NC,North Carolina,37065,Southern Seaboard
"Edgefield County, SC",Edgefield County,SC,South Carolina,45037,Southern Seaboard
"Edmonson County, KY",Edmonson County,KY,Kentucky,21061,Eastern Uplands
"Edmunds County, SD",Edmunds County,SD,South Dakota,46045,Northern Great Plains
"Edwards County, IL",Edwards County,IL,Illinois,17047,Heartland
"Edwards County, KS",Edwards County,KS,Kansas,20047,Prairie Gateway
"Edwards County, TX",Edwards County,TX,Texas,48137,Prairie Gateway
"Effingham County, GA",Effingham County,GA,Georgia,13103,Southern Seaboard
"Effingham County, IL",Effingham County,IL,Illinois,17049,Heartland
"El Dorado County, CA",El Dorado County,CA,California,6017,Basin and Range
"El Paso County, CO",El Paso County,CO,Colorado,8041,Prairie Gateway
"El Paso County, TX",El Paso County,TX,Texas,48141,Fruitful Rim
"Elbert County, CO",Elbert County,CO,Colorado,8039,Prairie Gateway
"Elbert County, GA",Elbert County,GA,Georgia,13105,Southern Seaboard
"Elk County, KS",Elk County,KS,Kansas,20049,Prairie Gateway
"Elk County, PA",Elk County,PA,Pennsylvania,42047,Northern Crescent
"Elkhart County, IN",Elkhart County,IN,Indiana,18039,Heartland
"Elko County, NV",Elko County,NV,Nevada,32007,Basin and Range
"Elliott County, KY",Elliott County,KY,Kentucky,21063,Eastern Uplands
"Ellis County, KS",Ellis County,KS,Kansas,20051,Prairie Gateway
"Ellis County, OK",Ellis County,OK,Oklahoma,40045,Prairie Gateway
"Ellis County, TX",Ellis County,TX,Texas,48139,Prairie Gateway
"Ellsworth County, KS",Ellsworth County,KS,Kansas,20053,Prairie Gateway
"Elmore County, AL",Elmore County,AL,Alabama,1051,Southern Seaboard
"Elmore County, ID",Elmore County,ID,Idaho,16039,Fruitful Rim
"Emanuel County, GA",Emanuel County,GA,Georgia,13107,Southern Seaboard
"Emery County, UT",Emery County,UT,Utah,49015,Basin and Range
"Emmet County, IA",Emmet County,IA,Iowa,19063,Heartland
"Emmet County, MI",Emmet County,MI,Michigan,26047,Northern Crescent
"Emmons County, ND",Emmons County,ND,North Dakota,38029,Northern Great Plains
"Emporia City, VA",Emporia City,VA,Virginia,51595,Southern Seaboard
"Erath County, TX",Erath County,TX,Texas,48143,Prairie Gateway
"Erie County, NY",Erie County,NY,New York,36029,Northern Crescent
"Erie County, OH",Erie County,OH,Ohio,39043,Northern Crescent
"Erie County, PA",Erie County,PA,Pennsylvania,42049,Northern Crescent
"Escambia County, AL",Escambia County,AL,Alabama,1053,Southern Seaboard
"Escambia County, FL",Escambia County,FL,Florida,12033,Fruitful Rim
"Esmeralda County, NV",Esmeralda County,NV,Nevada,32009,Basin and Range
"Essex County, MA",Essex County,MA,Massachusetts,25009,Northern Crescent
"Essex County, NJ",Essex County,NJ,New Jersey,34013,Northern Crescent
"Essex County, NY",Essex County,NY,New York,36031,Northern Crescent
"Essex County, VA",Essex County,VA,Virginia,51057,Southern Seaboard
"Essex County, VT",Essex County,VT,Vermont,50009,Northern Crescent
"Estill County, KY",Estill County,KY,Kentucky,21065,Eastern Uplands
"Etowah County, AL",Etowah County,AL,Alabama,1055,Eastern Uplands
"Eureka County, NV",Eureka County,NV,Nevada,32011,Basin and Range
"Evangeline Parish, LA",Evangeline Parish,LA,Louisiana,22039,Mississippi Portal
"Evans County, GA",Evans County,GA,Georgia,13109,Fruitful Rim
"Fairbanks North Star Borough, AK",Fairbanks North Star Borough,AK,Alaska,2090,
"Fairfax City, VA",Fairfax City,VA,Virginia,51600,Southern Seaboard
"Fairfax County, VA",Fairfax County,VA,Virginia,51059,Southern Seaboard
"Fairfield County, OH",Fairfield County,OH,Ohio,39045,Heartland
"Fairfield County, SC",Fairfield County,SC,South Carolina,45039,Southern Seaboard
"Fall River County, SD",Fall River County,SD,South Dakota,46047,Northern Great Plains
"Fallon County, MT",Fallon County,MT,Montana,30025,Northern Great Plains
"Falls Church City, VA",Falls Church City,VA,Virginia,51610,Southern Seaboard
"Falls County, TX",Falls County,TX,Texas,48145,Prairie Gateway
"Fannin County, GA",Fannin County,GA,Georgia,13111,Southern Seaboard
"Fannin County, TX",Fannin County,TX,Texas,48147,Prairie Gateway
"Faribault County, MN",Faribault County,MN,Minnesota,27043,Heartland
"Faulk County, SD",Faulk County,SD,South Dakota,46049,Northern Great Plains
"Faulkner County, AR",Faulkner County,AR,Arkansas,5045,Eastern Uplands
"Fauquier County, VA",Fauquier County,VA,Virginia,51061,Southern Seaboard
"Fayette County, AL",Fayette County,AL,Alabama,1057,Southern Seaboard
"Fayette County, GA",Fayette County,GA,Georgia,13113,Southern Seaboard
"Fayette County, IA",Fayette County,IA,Iowa,19065,Heartland
"Fayette County, IL",Fayette County,IL,Illinois,17051,Heartland
"Fayette County, IN",Fayette County,IN,Indiana,18041,Heartland
"Fayette County, KY",Fayette County,KY,Kentucky,21067,Eastern Uplands
"Fayette County, OH",Fayette County,OH,Ohio,39047,Heartland
"Fayette County, PA",Fayette County,PA,Pennsylvania,42051,Eastern Uplands
"Fayette County, TN",Fayette County,TN,Tennessee,47047,Mississippi Portal
"Fayette County, TX",Fayette County,TX,Texas,48149,Prairie Gateway
"Fayette County, WV",Fayette County,WV,West Virginia,54019,Eastern Uplands
"Fentress County, TN",Fentress County,TN,Tennessee,47049,Eastern Uplands
"Fergus County, MT",Fergus County,MT,Montana,30027,Basin and Range
"Ferry County, WA",Ferry County,WA,Washington,53019,Basin and Range
"Fillmore County, MN",Fillmore County,MN,Minnesota,27045,Heartland
"Fillmore County, NE",Fillmore County,NE,Nebraska,31059,Prairie Gateway
"Finney County, KS",Finney County,KS,Kansas,20055,Prairie Gateway
"Fisher County, TX",Fisher County,TX,Texas,48151,Prairie Gateway
"Flagler County, FL",Flagler County,FL,Florida,12035,Fruitful Rim
"Flathead County, MT",Flathead County,MT,Montana,30029,Basin and Range
"Fleming County, KY",Fleming County,KY,Kentucky,21069,Eastern Uplands
"Florence County, SC",Florence County,SC,South Carolina,45041,Southern Seaboard
"Florence County, WI",Florence County,WI,Wisconsin,55037,Northern Crescent
"Floyd County, GA",Floyd County,GA,Georgia,13115,Eastern Uplands
"Floyd County, IA",Floyd County,IA,Iowa,19067,Heartland
"Floyd County, IN",Floyd County,IN,Indiana,18043,Heartland
"Floyd County, KY",Floyd County,KY,Kentucky,21071,Eastern Uplands
"Floyd County, TX",Floyd County,TX,Texas,48153,Prairie Gateway
"Floyd County, VA",Floyd County,VA,Virginia,51063,Eastern Uplands
"Fluvanna County, VA",Fluvanna County,VA,Virginia,51065,Southern Seaboard
"Foard County, TX",Foard County,TX,Texas,48155,Prairie Gateway
"Fond du Lac County, WI",Fond du Lac County,WI,Wisconsin,55039,Northern Crescent
"Ford County, IL",Ford County,IL,Illinois,17053,Heartland
"Ford County, KS",Ford County,KS,Kansas,20057,Prairie Gateway
"Forest County, PA",Forest County,PA,Pennsylvania,42053,Northern Crescent
"Forest County, WI",Forest County,WI,Wisconsin,55041,Northern Crescent
"Forrest County, MS",Forrest County,MS,Mississippi,28035,Southern Seaboard
"Forsyth County, GA",Forsyth County,GA,Georgia,13117,Southern Seaboard
"Forsyth County, NC",Forsyth County,NC,North Carolina,37067,Southern Seaboard
"Fort Bend County, TX",Fort Bend County,TX,Texas,48157,Fruitful Rim
"Foster County, ND",Foster County,ND,North Dakota,38031,Northern Great Plains
"Fountain County, IN",Fountain County,IN,Indiana,18045,Heartland
"Franklin City, VA",Franklin City,VA,Virginia,51620,Southern Seaboard
"Franklin County, AL",Franklin County,AL,Alabama,1059,Southern Seaboard
"Franklin County, AR",Franklin County,AR,Arkansas,5047,Eastern Uplands
"Franklin County, FL",Franklin County,FL,Florida,12037,Fruitful Rim
"Franklin County, GA",Franklin County,GA,Georgia,13119,Southern Seaboard
"Franklin County, IA",Franklin County,IA,Iowa,19069,Heartland
"Franklin County, ID",Franklin County,ID,Idaho,16041,Fruitful Rim
"Franklin County, IL",Franklin County,IL,Illinois,17055,Heartland
"Franklin County, IN",Franklin County,IN,Indiana,18047,Heartland
"Franklin County, KS",Franklin County,KS,Kansas,20059,Prairie Gateway
"Franklin County, KY",Franklin County,KY,Kentucky,21073,Eastern Uplands
"Franklin County, MA",Franklin County,MA,Massachusetts,25011,Northern Crescent
"Franklin County, ME",Franklin County,ME,Maine,23007,Northern Crescent
"Franklin County, MO",Franklin County,MO,Missouri,29071,Heartland
"Franklin County, MS",Franklin County,MS,Mississippi,28037,Mississippi Portal
"Franklin County, NC",Franklin County,NC,North Carolina,37069,Southern Seaboard
"Franklin County, NE",Franklin County,NE,Nebraska,31061,Prairie Gateway
"Franklin County, NY",Franklin County,NY,New York,36033,Northern Crescent
"Franklin County, OH",Franklin County,OH,Ohio,39049,Heartland
"Franklin County, PA",Franklin County,PA,Pennsylvania,42055,Northern Crescent
"Franklin County, TN",Franklin County,TN,Tennessee,47051,Eastern Uplands
"Franklin County, TX",Franklin County,TX,Texas,48159,Southern Seaboard
"Franklin County, VA",Franklin County,VA,Virginia,51067,Southern Seaboard
"Franklin County, VT",Franklin County,VT,Vermont,50011,Northern Crescent
"Franklin County, WA",Franklin County,WA,Washington,53021,Fruitful Rim
"Franklin Parish, LA",Franklin Parish,LA,Louisiana,22041,Mississippi Portal
"Frederick County, MD",Frederick County,MD,Maryland,24021,Northern Crescent
"Frederick County, VA",Frederick County,VA,Virginia,51069,Southern Seaboard
"Fredericksburg City, VA",Fredericksburg City,VA,Virginia,51630,Southern Seaboard
"Freeborn County, MN",Freeborn County,MN,Minnesota,27047,Heartland
"Freestone County, TX",Freestone County,TX,Texas,48161,Southern Seaboard
"Fremont County, CO",Fremont County,CO,Colorado,8043,Prairie Gateway
"Fremont County, IA",Fremont County,IA,Iowa,19071,Heartland
"Fremont County, ID",Fremont County,ID,Idaho,16043,Fruitful Rim
"Fremont County, WY",Fremont County,WY,Wyoming,56013,Basin and Range
"Fresno County, CA",Fresno County,CA,California,6019,Fruitful Rim
"Frio County, TX",Frio County,TX,Texas,48163,Fruitful Rim
"Frontier County, NE",Frontier County,NE,Nebraska,31063,Prairie Gateway
"Fulton County, AR",Fulton County,AR,Arkansas,5049,Eastern Uplands
"Fulton County, GA",Fulton County,GA,Georgia,13121,Southern Seaboard
"Fulton County, IL",Fulton County,IL,Illinois,17057,Heartland
"Fulton County, IN",Fulton County,IN,Indiana,18049,Heartland
"Fulton County, KY",Fulton County,KY,Kentucky,21075,Heartland
"Fulton County, NY",Fulton County,NY,New York,36035,Northern Crescent
"Fulton County, OH",Fulton County,OH,Ohio,39051,Heartland
"Fulton County, PA",Fulton County,PA,Pennsylvania,42057,Northern Crescent
"Furnas County, NE",Furnas County,NE,Nebraska,31065,Prairie Gateway
"Gadsden County, FL",Gadsden County,FL,Florida,12039,Fruitful Rim
"Gage County, NE",Gage County,NE,Nebraska,31067,Prairie Gateway
"Gaines County, TX",Gaines County,TX,Texas,48165,Prairie Gateway
"Galax City, VA",Galax City,VA,Virginia,51640,Eastern Uplands
"Gallatin County, IL",Gallatin County,IL,Illinois,17059,Heartland
"Gallatin County, KY",Gallatin County,KY,Kentucky,21077,Eastern Uplands
"Gallatin County, MT",Gallatin County,MT,Montana,30031,Basin and Range
"Gallia County, OH",Gallia County,OH,Ohio,39053,Heartland
"Galveston County, TX",Galveston County,TX,Texas,48167,Fruitful Rim
"Garden County, NE",Garden County,NE,Nebraska,31069,Northern Great Plains
"Garfield County, CO",Garfield County,CO,Colorado,8045,Basin and Range
"Garfield County, MT",Garfield County,MT,Montana,30033,Northern Great Plains
"Garfield County, NE",Garfield County,NE,Nebraska,31071,Northern Great Plains
"Garfield County, OK",Garfield County,OK,Oklahoma,40047,Prairie Gateway
"Garfield County, UT",Garfield County,UT,Utah,49017,Basin and Range
"Garfield County, WA",Garfield County,WA,Washington,53023,Basin and Range
"Garland County, AR",Garland County,AR,Arkansas,5051,Eastern Uplands
"Garrard County, KY",Garrard County,KY,Kentucky,21079,Eastern Uplands
"Garrett County, MD",Garrett County,MD,Maryland,24023,Eastern Uplands
"Garvin County, OK",Garvin County,OK,Oklahoma,40049,Prairie Gateway
"Garza County, TX",Garza County,TX,Texas,48169,Prairie Gateway
"Gasconade County, MO",Gasconade County,MO,Missouri,29073,Heartland
"Gaston County, NC",Gaston County,NC,North Carolina,37071,Southern Seaboard
"Gates County, NC",Gates County,NC,North Carolina,37073,Southern Seaboard
"Geary County, KS",Geary County,KS,Kansas,20061,Prairie Gateway
"Geauga County, OH",Geauga County,OH,Ohio,39055,Northern Crescent
"Gem County, ID",Gem County,ID,Idaho,16045,Fruitful Rim
"Genesee County, MI",Genesee County,MI,Michigan,26049,Northern Crescent
"Genesee County, NY",Genesee County,NY,New York,36037,Northern Crescent
"Geneva County, AL",Geneva County,AL,Alabama,1061,Southern Seaboard
"Gentry County, MO",Gentry County,MO,Missouri,29075,Heartland
"George County, MS",George County,MS,Mississippi,28039,Southern Seaboard
"Georgetown County, SC",Georgetown County,SC,South Carolina,45043,Southern Seaboard
"Gibson County, IN",Gibson County,IN,Indiana,18051,Heartland
"Gibson County, TN",Gibson County,TN,Tennessee,47053,Mississippi Portal
"Gila County, AZ",Gila County,AZ,Arizona,4007,Fruitful Rim
"Gilchrist County, FL",Gilchrist County,FL,Florida,12041,Fruitful Rim
"Giles County, TN",Giles County,TN,Tennessee,47055,Eastern Uplands
"Giles County, VA",Giles County,VA,Virginia,51071,Eastern Uplands
"Gillespie County, TX",Gillespie County,TX,Texas,48171,Prairie Gateway
"Gilliam County, OR",Gilliam County,OR,Oregon,41021,Basin and Range
"Gilmer County, GA",Gilmer County,GA,Georgia,13123,Southern Seaboard
"Gilmer County, WV",Gilmer County,WV,West Virginia,54021,Eastern Uplands
"Gilpin County, CO",Gilpin County,CO,Colorado,8047,Basin and Range
"Glacier County, MT",Glacier County,MT,Montana,30035,Northern Great Plains
"Glades County, FL",Glades County,FL,Florida,12043,Fruitful Rim
"Gladwin County, MI",Gladwin County,MI,Michigan,26051,Northern Crescent
"Glascock County, GA",Glascock County,GA,Georgia,13125,Southern Seaboard
"Glasscock County, TX",Glasscock County,TX,Texas,48173,Prairie Gateway
"Glenn County, CA",Glenn County,CA,California,6021,Fruitful Rim
"Gloucester County, NJ",Gloucester County,NJ,New Jersey,34015,Northern Crescent
"Gloucester County, VA",Gloucester County,VA,Virginia,51073,Southern Seaboard
"Glynn County, GA",Glynn County,GA,Georgia,13127,Fruitful Rim
"Gogebic County, MI",Gogebic County,MI,Michigan,26053,Northern Crescent
"Golden Valley County, MT",Golden Valley County,MT,Montana,30037,Basin and Range
"Golden Valley County, ND",Golden Valley County,ND,North Dakota,38033,Northern Great Plains
"Goliad County, TX",Goliad County,TX,Texas,48175,Prairie Gateway
"Gonzales County, TX",Gonzales County,TX,Texas,48177,Prairie Gateway
"Goochland County, VA",Goochland County,VA,Virginia,51075,Southern Seaboard
"Goodhue County, MN",Goodhue County,MN,Minnesota,27049,Heartland
"Gooding County, ID",Gooding County,ID,Idaho,16047,Fruitful Rim
"Gordon County, GA",Gordon County,GA,Georgia,13129,Eastern Uplands
"Goshen County, WY",Goshen County,WY,Wyoming,56015,Northern Great Plains
"Gosper County, NE",Gosper County,NE,Nebraska,31073,Prairie Gateway
"Gove County, KS",Gove County,KS,Kansas,20063,Prairie Gateway
"Grady County, GA",Grady County,GA,Georgia,13131,Southern Seaboard
"Grady County, OK",Grady County,OK,Oklahoma,40051,Prairie Gateway
"Grafton County, NH",Grafton County,NH,New Hampshire,33009,Northern Crescent
"Graham County, AZ",Graham County,AZ,Arizona,4009,Fruitful Rim
"Graham County, KS",Graham County,KS,Kansas,20065,Prairie Gateway
"Graham County, NC",Graham County,NC,North Carolina,37075,Eastern Uplands
"Grainger County, TN",Grainger County,TN,Tennessee,47057,Eastern Uplands
"Grand County, CO",Grand County,CO,Colorado,8049,Basin and Range
"Grand County, UT",Grand County,UT,Utah,49019,Basin and Range
"Grand Forks County, ND",Grand Forks County,ND,North Dakota,38035,Northern Great Plains
"Grand Isle County, VT",Grand Isle County,VT,Vermont,50013,Northern Crescent
"Grand Traverse County, MI",Grand Traverse County,MI,Michigan,26055,Northern Crescent
"Granite County, MT",Granite County,MT,Montana,30039,Basin and Range
"Grant County, AR",Grant County,AR,Arkansas,5053,Eastern Uplands
"Grant County, IN",Grant County,IN,Indiana,18053,Heartland
"Grant County, KS",Grant County,KS,Kansas,20067,Prairie Gateway
"Grant County, KY",Grant County,KY,Kentucky,21081,Eastern Uplands
"Grant County, MN",Grant County,MN,Minnesota,27051,Heartland
"Grant County, ND",Grant County,ND,North Dakota,38037,Northern Great Plains
"Grant County, NE",Grant County,NE,Nebraska,31075,Northern Great Plains
"Grant County, NM",Grant County,NM,New Mexico,35017,Basin and Range
"Grant County, OK",Grant County,OK,Oklahoma,40053,Prairie Gateway
"Grant County, OR",Grant County,OR,Oregon,41023,Basin and Range
"Grant County, SD",Grant County,SD,South Dakota,46051,Northern Great Plains
"Grant County, WA",Grant County,WA,Washington,53025,Fruitful Rim
"Grant County, WI",Grant County,WI,Wisconsin,55043,Northern Crescent
"Grant County, WV",Grant County,WV,West Virginia,54023,Eastern Uplands
"Grant Parish, LA",Grant Parish,LA,Louisiana,22043,Mississippi Portal
"Granville County, NC",Granville County,NC,North Carolina,37077,Southern Seaboard
"Gratiot County, MI",Gratiot County,MI,Michigan,26057,Northern Crescent
"Graves County, KY",Graves County,KY,Kentucky,21083,Heartland
"Gray County, KS",Gray County,KS,Kansas,20069,Prairie Gateway
"Gray County, TX",Gray County,TX,Texas,48179,Prairie Gateway
"Grays Harbor County, WA",Grays Harbor County,WA,Washington,53027,Fruitful Rim
"Grayson County, KY",Grayson County,KY,Kentucky,21085,Eastern Uplands
"Grayson County, TX",Grayson County,TX,Texas,48181,Prairie Gateway
"Grayson County, VA",Grayson County,VA,Virginia,51077,Eastern Uplands
"Greater Bridgeport Planning Region, CT",Greater Bridgeport Planning Region,CT,Connecticut,9120,
"Greeley County, KS",Greeley County,KS,Kansas,20071,Prairie Gateway
"Greeley County, NE",Greeley County,NE,Nebraska,31077,Prairie Gateway
"Green County, KY",Green County,KY,Kentucky,21087,Eastern Uplands
"Green County, WI",Green County,WI,Wisconsin,55045,Northern Crescent
"Green Lake County, WI",Green Lake County,WI,Wisconsin,55047,Northern Crescent
"Greenbrier County, WV",Greenbrier County,WV,West Virginia,54025,Eastern Uplands
"Greene County, AL",Greene County,AL,Alabama,1063,Southern Seaboard
"Greene County, AR",Greene County,AR,Arkansas,5055,Mississippi Portal
"Greene County, GA",Greene County,GA,Georgia,13133,Southern Seaboard
"Greene County, IA",Greene County,IA,Iowa,19073,Heartland
"Greene County, IL",Greene County,IL,Illinois,17061,Heartland
"Greene County, IN",Greene County,IN,Indiana,18055,Heartland
"Greene County, MO",Greene County,MO,Missouri,29077,Eastern Uplands
"Greene County, MS",Greene County,MS,Mississippi,28041,Southern Seaboard
"Greene County, NC",Greene County,NC,North Carolina,37079,Southern Seaboard
"Greene County, NY",Greene County,NY,New York,36039,Northern Crescent
"Greene County, OH",Greene County,OH,Ohio,39057,Heartland
"Greene County, PA",Greene County,PA,Pennsylvania,42059,Eastern Uplands
"Greene County, TN",Greene County,TN,Tennessee,47059,Eastern Uplands
"Greene County, VA",Greene County,VA,Virginia,51079,Southern Seaboard
"Greenlee County, AZ",Greenlee County,AZ,Arizona,4011,Basin and Range
"Greensville County, VA",Greensville County,VA,Virginia,51081,Southern Seaboard
"Greenup County, KY",Greenup County,KY,Kentucky,21089,Eastern Uplands
"Greenville County, SC",Greenville County,SC,South Carolina,45045,Southern Seaboard
"Greenwood County, KS",Greenwood County,KS,Kansas,20073,Prairie Gateway
"Greenwood County, SC",Greenwood County,SC,South Carolina,45047,Southern Seaboard
"Greer County, OK",Greer County,OK,Oklahoma,40055,Prairie Gateway
"Gregg County, TX",Gregg County,TX,Texas,48183,Southern Seaboard
"Gregory County, SD",Gregory County,SD,South Dakota,46053,Northern Great Plains
"Grenada County, MS",Grenada County,MS,Mississippi,28043,Mississippi Portal
"Griggs County, ND",Griggs County,ND,North Dakota,38039,Northern Great Plains
"Grimes County, TX",Grimes County,TX,Texas,48185,Southern Seaboard
"Grundy County, IA",Grundy County,IA,Iowa,19075,Heartland
"Grundy County, IL",Grundy County,IL,Illinois,17063,Heartland
"Grundy County, MO",Grundy County,MO,Missouri,29079,Heartland
"Grundy County, TN",Grundy County,TN,Tennessee,47061,Eastern Uplands
"Guadalupe County, NM",Guadalupe County,NM,New Mexico,35019,Prairie Gateway
"Guadalupe County, TX",Guadalupe County,TX,Texas,48187,Prairie Gateway
"Guernsey County, OH",Guernsey County,OH,Ohio,39059,Eastern Uplands
"Guilford County, NC",Guilford County,NC,North Carolina,37081,Southern Seaboard
"Gulf County, FL",Gulf County,FL,Florida,12045,Fruitful Rim
"Gunnison County, CO",Gunnison County,CO,Colorado,8051,Basin and Range
"Guthrie County, IA",Guthrie County,IA,Iowa,19077,Heartland
